MPC201610,,2.2x1.8x1.0,0.24~2.2,24~197,1.6~4.0,1.9~4.8
MPC252010,,2.7x1.8x1.0,0.22~2.2,18~121,1.8~5.8,2.4~6.6
MPC252012,,2.7x1.8x1.2,0.24~2.4,28~105,2.3~4.5,2.5~5.0
MPC3012,,3.7x3.2x1.2,0.12~10.0,5.5~360,1.0~10,1.5~17
MPC3020,,3.7x3.2x2.0,0.22~4.7,10~158,1.8~5.11,3.3~16
MPCA-4012,,4.75x4.45x1.2,0.15~4.7,9~195,1.8~5.12,2.8~15
MPCA-4020,,4.75x4.45x2.0,0.10~22.0,4~363,1.8~5.13,1.65~22
MPCA-0515,,5.7x5.4x1.5,0.47~4.7,13~103,1.8~5.14,4.5~13
MPCA-0518,,5.7x5.4x1.8,0.47~10.0,9~155,1.8~5.15,3.0~15.5
MPCA-0530,,5.7x5.4x3.0,0.10~10.0,3~125,1.8~5.16,3.5~33
MPCA-0618,,7.3x6.8x1.8,0.10~22.0,2.3~350,1.8~5.17,2.3~38
MPCA-0624,,7.3x6.8x2.4,0.22~22.0,3.0~230,1.8~5.18,2.5~34
MPCA-0630,,7.3x6.8x3.0,0.10~33.0,1.2~310,1.8~5.19,2.5~56
MPCA-0640,,7.3x6.8x4.0,0.36~10.0,1.8~65,1.8~5.20,5.0~25
LPCA-1040,,11.5x10.3x4.0,0.15~100,0.65~350,1.8~5.21,2.3~75
LPCA-1350,,13.8x12.9x5.0,0.22~47,0.7~130,1.8~5.22,5.0~75
LPCA-1770,,17.45x17.15x7.0,1.0~100,1.5~130,1.8~5.23,4.5~62
